Dataset,number cross validation,Learning Rate,Number convolutions,N,Accuracy score,FPR,TPR,pecision score,Recall score,Auc score,Pr auc score,Training_time (seconds),Inference_time (seconds)
svhn_cropped,0,0.000885531,3,8,0.8575,0.016010789,0.844791287,0.850973678,0.844791287,0.983877463,0.916813335,93.770648,0.064857483
svhn_cropped,1,0.001135607,3,8,0.8565,0.01610905,0.85180045,0.84997586,0.85180045,0.982095021,0.915150065,94.08351374,0.043236971
svhn_cropped,2,0.001203996,3,8,0.8485,0.017040573,0.83713063,0.842153894,0.83713063,0.982145305,0.915019146,93.61528134,0.046753645
svhn_cropped,3,0.000479812,3,2,0.867,0.014946261,0.855312464,0.859307725,0.855312464,0.983315023,0.915654877,128.7501628,0.066545963
svhn_cropped,4,0.000508527,3,2,0.8545,0.016366096,0.838114905,0.847732643,0.838114905,0.982502976,0.91162273,131.2903819,0.054750919
svhn_cropped,5,0.001337468,3,8,0.8575,0.015945333,0.850151666,0.848623242,0.850151666,0.983965409,0.91800217,94.12663174,0.051214695
svhn_cropped,6,0.001087164,3,8,0.865,0.015150192,0.856372915,0.858610907,0.856372915,0.985117718,0.922857969,93.47075009,0.042456627
svhn_cropped,7,0.001041292,3,8,0.856,0.016069583,0.8449757,0.845332117,0.8449757,0.979548769,0.910956004,94.38740063,0.044382334
svhn_cropped,8,0.000882451,3,8,0.865,0.015721703,0.847403797,0.851971512,0.855668135,0.997352764,0.9108837,94.00800023,0.042074824
svhn_cropped,9,0.001064228,3,8,0.866,0.01564716,0.846189749,0.866863276,0.864325213,0.978882935,0.92043726,93.91742354,0.410723453
kmnist,0,1.03148E-06,1,5,0.0845,0.101761498,0.084080502,0.082819114,0.084080502,0.488539952,0.096356688,49.59090662,0.157735825
kmnist,1,2.01692E-05,1,8,0.09,0.101151657,0.089603283,0.085656629,0.089603283,0.513525672,0.102997439,47.93050885,0.049724579
kmnist,2,4.76855E-05,0,5,0.104,0.099571065,0.103921186,0.102651602,0.103921186,0.501373379,0.102880942,37.4945941,0.106972456
kmnist,3,0.002318072,1,5,0.1005,0.099958568,0.100239063,0.099940626,0.100239063,0.511685026,0.102701863,49.73636246,0.111041069
